run_id,avg_words_per_sentence,bullet_points_per_utterance,headings_per_utterance,sentence_complexity,lexical_diversity,formality_score,punctuation_density,output_structure_consistency,is_gemini,is_claude,is_gpt,is_llama,is_qwen,is_deepseek,is_mistral
5298,18.72222222222222,0.0,0.0,12.440730390768795,0.3751507840772014,-0.04846686449060336,0.02864543653816852,0.0,0,0,0,1,0,0,0
5299,16.157894736842106,0.0,0.0,12.73568318189611,0.4451530612244898,0.008686210640608035,0.019388761091028592,0.0,0,0,1,0,0,0,0
5300,21.71153846153846,0.0,0.0,14.625556647073036,0.38790406673618355,-0.018600531443755536,0.0241406454998688,0.0,0,0,0,1,0,0,0
5301,18.873015873015873,0.0,0.0,15.171615751919479,0.40057915057915056,-0.0008410428931875525,0.01854320688401406,0.0,0,0,1,0,0,0,0
5302,19.466666666666665,0.6,0.0,11.06145246277205,0.39448275862068966,-0.0182648401826484,0.03123809523809524,0.2,0,0,0,1,0,0,0
5303,15.696969696969697,0.0,0.0,9.91971837383602,0.4539170506912442,-0.0019305019305019305,0.026415094339622643,0.0,0,0,1,0,0,0,0
5304,18.176470588235293,0.0,0.0,11.627830404889231,0.3680823680823681,-0.021574973031283712,0.026979368718039146,0.0,0,0,0,1,0,0,0
5305,15.9375,0.0,0.0,12.49416824794434,0.3948896631823461,0.00392156862745098,0.026200212024837195,0.0,0,0,1,0,0,0,0
5306,22.06451612903226,0.0,0.0,13.976098473228404,0.33620689655172414,-0.009502923976608187,0.02631578947368421,0.0,0,0,0,1,0,0,0
5307,21.317073170731707,0.6,0.8,15.458609302229025,0.32766825288919105,0.0011441647597254005,0.02950903078097176,0.4,0,0,1,0,0,0,0
5308,19.0,3.6,0.0,12.487563158721219,0.31059390048154095,0.001998667554963358,0.029619332763045337,0.6,0,0,0,1,0,0,0
5309,20.907894736842106,3.6,1.2,12.084829605963794,0.33565891472868215,0.0446821900566394,0.038348082595870206,0.4,0,0,1,0,0,0,0
5310,21.62686567164179,0.0,0.0,13.471099130045939,0.29517579721995096,0.011732229123533472,0.02771786022433132,0.4,0,0,0,1,0,0,0
5311,19.333333333333332,0.8,0.0,12.649694875017456,0.36299292214357937,0.03451251078515962,0.026326233628786878,0.4,0,0,1,0,0,0,0
5312,14.82,0.0,0.0,6.266537541846009,0.4088586030664395,-0.024324324324324326,0.04057397328055418,0.0,0,0,0,1,0,0,0
5313,12.232876712328768,0.0,0.0,6.193596175478067,0.4590395480225989,-0.008998875140607425,0.03700862895493768,0.0,0,0,1,0,0,0,0
5314,24.173076923076923,0.0,0.0,15.430244305795686,0.34472934472934474,-0.00954653937947494,0.02555366269165247,0.0,0,0,0,1,0,0,0
5315,20.179775280898877,0.6,1.2,14.87543499347137,0.32266666666666666,0.016146993318485525,0.030214186823031192,0.4,0,0,1,0,0,0,0
5316,18.27777777777778,0.0,0.0,10.08992295141407,0.36662606577344703,0.005076142131979695,0.0301893228722497,0.6,0,0,0,1,0,0,0
5317,15.755102040816327,0.0,0.0,10.639035977459908,0.401244167962675,0.02860858257477243,0.02434417628541448,0.8,0,0,1,0,0,0,0
5318,21.4,0.0,0.0,13.771812432602445,0.33444537114261885,-0.011502516175413372,0.02338530066815145,0.0,0,0,0,1,0,0,0
5319,20.185714285714287,0.0,0.0,15.54003649782631,0.3385118560915781,0.014861995753715499,0.021331145523536047,0.2,0,0,1,0,0,0,0
5320,19.137931034482758,0.0,0.0,12.425258669438037,0.3672055427251732,0.002702702702702703,0.04564946742288006,0.0,0,0,0,1,0,0,0
5321,15.790697674418604,0.0,0.0,12.71355221092712,0.444253859348199,0.026509572901325478,0.024161073825503355,0.0,0,0,1,0,0,0,0
5322,17.064102564102566,0.6,0.0,10.340512048192775,0.3445544554455445,-0.006010518407212622,0.052847490347490346,0.2,0,0,0,1,0,0,0
5323,16.30263157894737,0.0,1.4,10.127397470950104,0.3647984267453294,0.03470540758676352,0.036441447283102064,0.4,0,0,1,0,0,0,0
5324,17.341463414634145,0.0,0.0,9.48250958956655,0.4237588652482269,-0.03234880450070324,0.039100913135097164,0.0,0,0,0,1,0,0,0
5325,12.931034482758621,0.0,0.0,8.962436781609195,0.5643564356435643,0.008,0.032272132577409504,0.0,0,0,1,0,0,0,0
5326,19.024390243902438,0.0,0.0,10.21641025641026,0.37732919254658387,-0.01282051282051282,0.03216250528988574,0.0,0,0,0,1,0,0,0
5327,12.027027027027026,0.0,0.0,9.410561797752809,0.5069637883008357,0.006741573033707865,0.029647715381932335,0.0,0,0,1,0,0,0,0
5328,20.114754098360656,0.0,0.0,14.59727619782954,0.36292682926829267,-0.012224938875305624,0.026908023483365948,0.2,0,0,0,1,0,0,0
5329,19.448275862068964,2.2,1.0,16.256229116945107,0.3507670850767085,0.012411347517730497,0.028271812080536914,0.6,0,0,1,0,0,0,0
5330,19.93548387096774,0.0,0.0,16.21177794551568,0.3652694610778443,-0.0056634304207119745,0.03181556195965418,0.0,0,0,0,1,0,0,0
5331,18.377777777777776,0.0,1.2,16.242468954617298,0.3386511965192168,0.016324062877871828,0.02993105767613923,0.4,0,0,1,0,0,0,0
5332,19.690140845070424,0.0,0.0,14.85962303749913,0.3311036789297659,-0.017253774263120056,0.025082508250825083,0.2,0,0,0,1,0,0,0
5333,17.826666666666668,0.0,0.0,14.807238389882368,0.37737478411053543,0.002243829468960359,0.022905759162303665,0.0,0,0,1,0,0,0,0
5334,18.324324324324323,0.0,0.0,10.407189211967975,0.3963963963963964,0.0014749262536873156,0.03267350345814453,0.0,0,0,0,1,0,0,0
5335,13.18421052631579,0.0,0.0,8.95942693560248,0.456359102244389,0.03592814371257485,0.03692999357739242,0.0,0,0,1,0,0,0,0
5336,17.340425531914892,0.0,0.0,7.632281352919652,0.40828402366863903,-0.019656019656019656,0.031090384188318897,0.0,0,0,0,1,0,0,0
5337,14.98076923076923,0.0,0.0,7.36347750910377,0.4084720121028744,0.0012836970474967907,0.02709707822808671,0.0,0,0,1,0,0,0,0
